source,author,title,description,published_date,url,publish_hour,publish_date
cheezburger.com,"jesse kessenheimer, jesse kessenheimer","phd student lives with her friend and pays $200/mo for a room, but refuses to clean because she doesn't “own” the house: ‘i think living nearly rent-free should inspire some level of communal care’","despite the seriously discounted roommate rent, this entitled phd student didn't feel like she had to pull her weight with household chores. 
why? because she didn't technically or legally own the house, her friend did. 
roommates are supposed to shoulder t…",2026-05-25 18:00:00+00:00,https://cheezburger.com/45387269/phd-student-lives-with-her-friend-and-pays-200mo-for-a-room-but-refuses-to-clean-because-she-doesnt,18,2026-05-25
oilprice.com,oilprice.com,data centers are outgrowing europe’s clean power deals,"european data center power purchase agreement (ppa) volumes fell from 4.2 gigawatts (gw) in 2024 to 2.6 gw in 2025, even as capacity buildout accelerated sharply. the drop reflects offshore wind delays and increased challenges in agreeing on ppa price points …",2026-05-25 18:00:00+00:00,https://oilprice.com/energy/energy-general/data-centers-are-outgrowing-europes-clean-power-deals.html,18,2026-05-25
comicbook.com,marco vito oddo,"on this day, 3 of the most important sci-fi movies ever made all released & changed cinema history","image courtesy of lucasfilm

every year, dozens of science fiction movies reach theaters or streaming platforms, the overwhelming majority of them vanishing within weeks of opening. however, a select few films are so revolutionary that they force studios to r…",2026-05-25 18:00:00+00:00,http://comicbook.com/movies/feature/on-this-day-3-of-the-most-important-sci-fi-movies-ever-made-all-released-changed-cinema-history/,18,2026-05-25
the irish times,stephen bourke,labour court member in unfair dismissal claim against state,veteran of 18-and-a-half years service pursuing a complaint at the workplace relations commission against minister for enterprise,2026-05-25 17:56:01+00:00,https://www.irishtimes.com/business/2026/05/25/labour-court-member-in-unfair-dismissal-claim-against-state/,17,2026-05-25
theflightdeal.com,the flight deal,"jetblue: new york – las vegas, nevada (and vice versa). $273 (basic economy) / $383 (regular economy). roundtrip, including all taxes",a good sale for nonstop service to/from las vegasthe $383 fare is a regular economy fare that allows for normal size carry-on and a personal item in addition to advance seat assignment.jetblue,2026-05-25 17:53:12+00:00,https://www.theflightdeal.com/2026/05/25/jetblue-new-york-las-vegas-nevada-and-vice-versa-273-basic-economy-383-regular-economy-roundtrip-including-all-taxes/,17,2026-05-25
royal gazette,jonathan kent,bma licence enables plume to launch first onchain regulated vault,"a bermudian company has launched what it describes as the world’s first regulated onchain vault, increasing accessibility to global investments for people who lack a brokerage account.
plume, an open ...",2026-05-25 17:53:07+00:00,https://www.royalgazette.com/international-business/business/article/20260525/bma-licence-enables-plume-to-launch-first-onchain-regulated-vault/,17,2026-05-25
syllad.com,syllad | the rising meghalaya,illegal bike taxi operations face crackdown; meghalaya govt urges aggregators to register,the state government has reiterated that enforcement action is being taken against illegal two-wheeler taxi aggregators and urged operators to comply with notified rules before running services. commissioner & secretary sanjay goyal on monday said the departm…,2026-05-25 17:51:26+00:00,https://www.syllad.com/illegal-bike-taxi-operations-face-crackdown-meghalaya-govt-urges-aggregators-to-register/,17,2026-05-25
the irish times,barry o'halloran,regulators clear kingspan takeover of duggan division,"deal will not substantially lessen competition, says mergers watchdog",2026-05-25 17:46:43+00:00,https://www.irishtimes.com/business/2026/05/25/regulators-clear-kingspan-takeover-of-duggan-division/,17,2026-05-25
twistedsifter.com,michael levanduski,son snaps at his overbearing father during a high-stress apartment hunt—then faces a massive wave of family guilt,"the relationship between father and son needs to evolve as kids grow up.
the post son snaps at his overbearing father during a high-stress apartment hunt—then faces a massive wave of family guilt appeared first on twistedsifter.",2026-05-25 17:46:34+00:00,http://twistedsifter.com/2026/05/son-snaps-at-his-overbearing-father-during-a-high-stress-apartment-hunt-then-faces-a-massive-wave-of-family-guilt/,17,2026-05-25
financial post,business wire,wcb workers sound alarm on rising workloads and delays in care for injured canadians,"vancouver, bc — when canadians are injured on the job, they depend on the expertise and dedication of workers at the workers’ compensation boards (wcbs) across the country. but as workloads intensify and staffing pressures mount, those same workers are warnin…",2026-05-25 17:46:14+00:00,https://financialpost.com/pmn/business-wire-news-releases-pmn/wcb-workers-sound-alarm-on-rising-workloads-and-delays-in-care-for-injured-canadians,17,2026-05-25
nintendo life,nintendo life,gamemill's snoopy game has been hit with a copyright lawsuit,"pay peanuts.we don't remember the snoopy storyline where charlie brown and co. end up in a legal copyright battle, but that's exactly what's happening at the moment. lee mendelson film productions (the owner of ""certain intellectual property"" related to the p…",2026-05-25 17:45:00+00:00,https://www.nintendolife.com/news/2026/05/gamemills-snoopy-game-has-been-hit-with-a-copyright-lawsuit,17,2026-05-25
the times of india,pti,shipping ministry working on reform-driven roadmap to accelerate maritime transformation,india's shipping ministry is driving a major maritime transformation. a new roadmap focuses on better governance and ease of doing business. officials are tasked with faster resolution of pending issues and grievances. a digital platform and mobile app will s…,2026-05-25 17:44:00+00:00,https://economictimes.indiatimes.com/industry/transportation/shipping-/-transport/shipping-ministry-working-on-reform-driven-roadmap-to-accelerate-maritime-transformation/articleshow/131314962.cms,17,2026-05-25
prnewswire,unknown,american alternative assets publishes 2026 precious metals ira account guide as gold hits record highs and retirees seek inflation protection,"comprehensive resource breaks down fee structures, custodian comparisons, and irs rules amid growing demand from americans aged 45-65 reassessing retirement strategy woodland hills, calif., may 25, 2026 /prnewswire/ -- american alternative assets, a leading p…",2026-05-25 17:42:00+00:00,https://www.prnewswire.com/news-releases/american-alternative-assets-publishes-2026-precious-metals-ira-account-guide-as-gold-hits-record-highs-and-retirees-seek-inflation-protection-302781252.html,17,2026-05-25
bbc news,nick mashiter - football reporter,forest must keep stars to progress - pereira,"nottingham forest will fight to keep morgan gibbs-white and elliot anderson, with vitor pereira insisting they need to continue to build. the duo will be in-demand this summer with manchester city and manchester united interested in england midfielder anderso…",2026-05-25 17:41:40+00:00,https://www.bbc.com/sport/football/articles/c1422lxgepro?xtor=al-72-%5bpartner%5d-%5byahoo.north.america%5d-%5bheadline%5d-%5bsport%5d-%5bbizdev%5d-%5bisapi%5d,17,2026-05-25
the times of india,et bureau,"pep talk for the ages, control, with trust","pep guardiola has left manchester city after a decade of success. he won 20 major trophies, including the champions league. guardiola is known for his tactical genius and leadership style. he adapted his approach at barcelona, bayern munich, and manchester ci…",2026-05-25 17:38:42+00:00,https://economictimes.indiatimes.com/opinion/et-editorial/pep-talk-for-the-ages-control-with-trust/articleshow/131314058.cms,17,2026-05-25
protothema.gr,admin,"anti-vaxxers, drachma supporters and putin followers in maria karystianou’s “hope” party – the people supporting her","attendees from the families of tempi victims were absent from the “olympion” – “russian influences” in the front row – and reactions over alleged copyright theft!
the post anti-vaxxers, drachma supporters and putin followers in maria karystianou’s “hope” part…",2026-05-25 17:38:41+00:00,https://en.protothema.gr/2026/05/25/anti-vaxxers-drachma-supporters-and-putin-followers-in-maria-karystianous-hope-party-the-people-supporting-her/,17,2026-05-25
the times of india,surya ramkumar,from stability to chaos: why individuals must now think like institutions,"the modern world demands individuals possess institutional competence as complexity shifts from stable structures to personal navigation.  life's increasing interconnectedness and uncertainty require individuals to adopt strategic clarity, intentional resourc…",2026-05-25 17:38:10+00:00,https://economictimes.indiatimes.com/opinion/et-commentary/from-stability-to-chaos-why-individuals-must-now-think-like-institutions/articleshow/131314786.cms,17,2026-05-25
the times of india,et bureau,unplug dead psus ps bureaucratic zzz,india's government struggles to close ailing state-owned companies. bureaucratic hurdles and complex asset sales delay closures. this ties up vital capital. streamlining exit processes is crucial for attracting foreign investment. the government aims to show …,2026-05-25 17:37:40+00:00,https://economictimes.indiatimes.com/opinion/et-editorial/unplug-dead-psus-ps-bureaucratic-zzz/articleshow/131314046.cms,17,2026-05-25
overcomingbias.com,robin hanson,toward-forager predictions,in my last post i reported:,2026-05-25 17:37:27+00:00,https://www.overcomingbias.com/p/toward-forager-predictions,17,2026-05-25
hackyexperiments.com,bilal tahir,the coming layoffs and the revenge of the measurers,"ai is gutting the middle of the org chart first. the cuts, the inequality runaway, and why proactive ubi is the only way through the backlash.",2026-05-25 17:35:34+00:00,https://hackyexperiments.com/blog/the-revenge-of-the-measurers,17,2026-05-25
the times of india,sanjeev krishan,four myths about the falling rupee and what india must actually do,india's rupee is facing pressure from global events.  the nation needs a plan to tackle weaknesses that amplify these impacts.  energy independence and boosting domestic manufacturing are key.  strengthening talent mobility and improving fta utilization are a…,2026-05-25 17:35:00+00:00,https://economictimes.indiatimes.com/opinion/et-commentary/four-myths-about-the-falling-rupee-and-what-india-must-actually-do/articleshow/131313898.cms,17,2026-05-25
"hitc - football, gaming, movies, tv, music",filipe guedes,former navy seal gives conor mcgregor gift from osama bin laden mission,"conor mcgregor has always found a way to stay in the spotlight, but his confirmed ufc return during the international fight week, after five years, has put him back at the centre of attention. this time, the focus is feeding straight into business.",2026-05-25 17:34:49+00:00,https://www.hitc.com/former-navy-seal-gives-conor-mcgregor-gift-from-osama-bin-laden-mission/,17,2026-05-25
livemint,eshita gain,itr filing 2026: how to e-verify your return? 5 key points to know,"as taxpayers prepare to file income tax returns, e-verification is essential for validity. failure to e-verify may result in penalties or delayed refunds. details here.",2026-05-25 17:33:40+00:00,https://www.livemint.com/money/personal-finance/itr-filing-2026-how-to-e-verify-your-return-5-key-points-to-know-11779728103216.html,17,2026-05-25
socialmediaexplorer.com,headlines team,how chinedum ndukwe projects are expanding access to affordable housing in cincinnati,"affordable housing remains one of the most pressing development challenges facing cincinnati. rising construction costs,...
the post how chinedum ndukwe projects are expanding access to affordable housing in cincinnati appeared first on social media explorer.",2026-05-25 17:30:43+00:00,https://socialmediaexplorer.com/business-innovation-2/how-chinedum-ndukwe-projects-are-expanding-access-to-affordable-housing-in-cincinnati/,17,2026-05-25
makeuseof,saikat basu,wikipedia may have built the best ai writing detection guide,this wikipedia page is the ai detection tool you didn't know existed.,2026-05-25 17:30:18+00:00,https://www.makeuseof.com/wikipedia-best-ai-writing-detection-guide/,17,2026-05-25
roanoke times,daryl austin special to usa today,"candy, clothing, and community: how the general store shaped retail","long before crowded shopping malls and overnight deliveries became the norm, everyday commerce in america moved at a much slower, more intimate pace.",2026-05-25 17:30:00+00:00,https://roanoke.com/news/nation-world/business/article_0b1b18f9-da1e-503d-9ff5-d09501fb9a77.html,17,2026-05-25
english premier league index - opta stats,epl index,report: spurs reach agreement to sign 29-year-old premier league star,tottenham transfer news: de zerbi moves fast after premier league survivalspurs survival opens door to summer rebuildtottenham’s 1-0 win over everton on the final day did more than preserve premier ...,2026-05-25 17:30:00+00:00,https://eplindex.com/146805/spurs-reach-agreement-to-sign-29-year-old-premier-league-star.html,17,2026-05-25
paxnews.com,michael pihach,homecoming: marsha mowers returns to reach global marketing as pr manager,"some things have a way of coming full circle. and for marsha mowers, this is one of them. the toronto-based communications pro – known to many travel advisors from her years as a reporter and editor in the travel trade media – is returning to the pr side of t…",2026-05-25 17:29:37+00:00,https://www.paxnews.com/news/appointments-jobs/homecoming-marsha-mowers-returns-reach-global-pr-manager,17,2026-05-25
pypi.org,dev@achek.com.ng,achek 2.0.1,"official python sdk for achek — whatsapp otp, ai chatbots & business messaging for nigeria",2026-05-25 17:28:40+00:00,https://pypi.org/project/achek/2.0.1/,17,2026-05-25
anfieldindex.com,anfield index,journalist: liverpool have set their sights on move for forward with ‘ridiculous’ numbers,"liverpool transfer news: yan diomande, bradley barcola and a summer built around wingerson anfield index’s media matters podcast, dave davis and david lynch moved from the emotion of liverpool’s f...",2026-05-25 17:25:00+00:00,https://anfieldindex.com/94486/journalist-liverpool-have-set-their-sights-on-move-for-forward-with-ridiculous-numbers.html,17,2026-05-25
theflightdeal.com,the flight deal,"scandinavian airlines: san francisco – warsaw, poland. $660 (basic economy) / $760 (regular economy). roundtrip, including all taxes",a good sale to warsaw.matrix airfare search by ita software will price this at $674 (basic economy). use those dates on  scandinavian should reprice to $660 (basic economy) / $760 (regular econom,2026-05-25 17:23:40+00:00,https://www.theflightdeal.com/2026/05/25/scandinavian-airlines-san-francisco-warsaw-poland-660-basic-economy-760-regular-economy-roundtrip-including-all-taxes/,17,2026-05-25
wnd.com,robert knight,will democrat wrongdoers ever face justice?,'we have a huge institutional memory hole thanks to a legacy media controlled by leftists',2026-05-25 17:22:19+00:00,https://www.wnd.com/2026/05/will-democrat-wrongdoers-ever-face-justice/,17,2026-05-25
fox business,fox business,raaw energy issues recall on dozens of products over listeria fears,a popular raw dog food brand is expanding a recall of dozens of products over fears they may be contaminated with listeria monocytogenes.,2026-05-25 17:21:24+00:00,https://www.foxbusiness.com/lifestyle/popular-pet-food-brand-halts-production-after-fda-warns-possible-dangerous-contamination,17,2026-05-25
twistedsifter.com,matthew gilligan,they thought their new job was going fine until they were suddenly fired after only a week,"maybe it's a good thing it didn't work out if they were gonna get treated this way...
the post they thought their new job was going fine until they were suddenly fired after only a week appeared first on twistedsifter.",2026-05-25 17:21:18+00:00,http://twistedsifter.com/2026/05/they-thought-their-new-job-was-going-fine-until-they-were-suddenly-fired-after-only-a-week/,17,2026-05-25
deadline,matthewgrobar,“the evolution of late night is here”: ben gleib talks launching world’s first youtube-native late-night talk show from his house – comedy means business podcast,"with late night at a crossroads, ben gleib is forging a new path. just a week after the permanent shuttering of the late show — the cbs franchise hosted for the last 11 years by stephen colbert — gleib is poised to launch good night with ben gleib, which mark…",2026-05-25 17:20:00+00:00,http://deadline.com/2026/05/ben-gleib-youtube-talk-show-comedy-means-business-podcast-1236920336/,17,2026-05-25
yahoo entertainment,unknown,jim cramer reveals why international business machines (ibm) should be doing better,no description,2026-05-25 17:17:45+00:00,https://consent.yahoo.com/v2/collectconsent?sessionid=1_cc-session_605e8c57-d2c7-4b09-98c4-298b8326ea56,17,2026-05-25
/film,staff@slashfilm.com (nina starner),"euphoria season 3, episode 7 kills off one of the show's main characters","one of the main characters in euphoria dies in season 3, episode 7, and we need to talk about how they ultimately meet their maker.",2026-05-25 17:14:00+00:00,https://www.slashfilm.com/2180636/euphoria-season-3-episode-7-nate-jacobs-death-explained/,17,2026-05-25
theflightdeal.com,the flight deal,"american: philadelphia – san jose, costa rica. $374 (basic economy) / $456 (regular economy). roundtrip, including all taxes","a good sale to san jose, costa rica. pricing will vary slightly depending on routing.the $456 fare is the regular fare which allows for normal size carry-on and one personal item in addition to ad",2026-05-25 17:13:42+00:00,https://www.theflightdeal.com/2026/05/25/american-philadelphia-san-jose-costa-rica-374-basic-economy-456-regular-economy-roundtrip-including-all-taxes/,17,2026-05-25
business insider,kelly burch,"i didn't want to work in my family's warehouse business. after 14 years, i can't imagine leaving.",ryan saltzman joined his family's wholesale grocery business after college and now helps lead the century-old company.,2026-05-25 17:09:01+00:00,https://www.businessinsider.com/joined-family-business-wholesale-grocery-company-2026-5,17,2026-05-25
boston.com,peter chianca,"review and setlist: bruce springsteen at td garden, boston, 5/24/26","bruce springsteen's td garden show functioned as a political rally, a call to action, and a reminder about civic responsibility.",2026-05-25 17:06:40+00:00,https://www.boston.com/culture/concert-reviews/2026/05/25/review-and-setlist-bruce-springsteen-e-street-band-td-garden-boston-may-24-2026/,17,2026-05-25
pypi.org,sofeykov@gmail.com,ezrules 1.23.0,open-source transaction monitoring engine for business rules,2026-05-25 17:06:21+00:00,https://pypi.org/project/ezrules/1.23.0/,17,2026-05-25
the times of india,pti,"bsnl revenue rises 19% to rs 25,000 crore in two years; tariff cheaper than pvt telcos: mos telecom","state-owned bsnl has seen a significant revenue jump of 19 percent, reaching rs 25,000 crore in two years. this financial turnaround is attributed to improved infrastructure and operational efficiency. the company's ebitda has also seen a dramatic increase.",2026-05-25 17:06:19+00:00,https://economictimes.indiatimes.com/industry/telecom/telecom-news/bsnl-revenue-rises-19-to-rs-25000-crore-in-two-years-tariff-cheaper-than-pvt-telcos-mos-telecom/articleshow/131314086.cms,17,2026-05-25
fox news,unknown,canadian teen girl charged with arson after allegedly torching american baseball team's charter bus,"a canadian teen is charged with arson after allegedly setting fire to a u.s. baseball team's charter bus during a road trip to winnipeg, police say.",2026-05-25 17:04:50+00:00,https://www.foxnews.com/world/canadian-teen-girl-charged-arson-allegedly-torching-american-baseball-teams-charter-bus,17,2026-05-25
coindesk,"francisco rodrigues, ai boost","indonesia blocks polymarket, calling prediction market online gambling in disguise",authorities stated that using crypto or blockchain doesn't change platforms that let users wager on uncertain outcomes from being gambling products.,2026-05-25 17:04:49+00:00,https://www.coindesk.com/policy/2026/05/25/indonesia-blocks-polymarket-calling-prediction-market-online-gambling-in-disguise,17,2026-05-25
popular science,margherita bassi,bobcat that survived being hit by a car gets a custom-built kennel,"a generous donation and a good neighbor will help the wildcat continue her recovery.
the post bobcat that survived being hit by a car gets a custom-built kennel appeared first on popular science.",2026-05-25 17:04:00+00:00,http://www.popsci.com/environment/bobcat-custom-kennel-recovery/,17,2026-05-25
theflightdeal.com,the flight deal,"delta: seattle – gothenburg, sweden. $494 (basic economy) / $714 (regular economy). roundtrip, including all taxes","a good sale to gothenburg. pricing will vary slightly depending on routing.the $714 fare includes advance seat assignment, a normal size carry-on and one checked bag.delta / air france / klm r",2026-05-25 17:03:04+00:00,https://www.theflightdeal.com/2026/05/25/delta-seattle-gothenburg-sweden-494-basic-economy-714-regular-economy-roundtrip-including-all-taxes/,17,2026-05-25
the times of india,das narayandas,"india produces talent, but does it build it?","india has world-class talent in engineering, management and entrepreneurship, but indian companies still often treat people as easily replaceable rather than long-term assets, according to a harvard business school professor.",2026-05-25 17:02:51+00:00,https://economictimes.indiatimes.com/opinion/et-commentary/india-produces-talent-but-does-it-build-it/articleshow/131313962.cms,17,2026-05-25
hacker news,unknown,rentflow (yc s24) is hiring,"about rentflow

rentflow is tackling a hair-on-fire problem for small and medium businesses across the u.s.: the way their rent is paid
each month is fundamentally misaligned with how cash actually comes in.

we’re building the infrastructure layer to fix tha…",2026-05-25 17:00:27+00:00,https://www.ycombinator.com/companies/rentflow/jobs/v2yneie-senior-ai-ml-lead,17,2026-05-25
new zealand herald,jenée tibshraeny,budget 2026 to include more cuts and reprioritisations than sweeteners – jenée tibshraeny,analysis: nicola willis will try to prevent nz's finances from worsening in the budget.,2026-05-25 17:00:00+00:00,https://www.nzherald.co.nz/business/economy/budget-2026-to-include-more-cuts-and-reprioritisations-than-sweeteners-jenee-tibshraeny/premium/kddtgpsghrhvtck2tcxof77l5m/,17,2026-05-25
